City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,lodwar,3.1191,35.5973,30.47,42,95,2.87,KE,1721513557
151,essaouira,31.5125,-9.77,21.05,85,0,10.91,MA,1721513558
152,saint-pierre,-21.3393,55.4781,19.2,68,0,3.09,RE,1721513559
153,sotnikovskoye,45.0039,43.7772,24.31,61,100,3.5,RU,1721513561
154,dudinka,69.4058,86.1778,6.44,70,0,6.13,RU,1721513562
155,west island,-12.1568,96.8225,26.99,83,75,9.77,CC,1721513563
156,westport,41.1415,-73.3579,27.4,63,0,5.66,US,1721513564
157,umluj,25.0213,37.2685,31.23,50,33,1.73,SA,1721513565
158,isangel,-19.55,169.2667,22.66,74,40,1.55,VU,1721513566
159,poso,-1.3959,120.7524,24.9,79,98,1.45,ID,1721513568
160,hermanus,-34.4187,19.2345,8.22,79,61,1.32,ZA,1721513569
161,chegdomyn,51.1167,133.0167,18.09,95,100,0.39,RU,1721513570
162,sitka,57.0531,-135.33,15.94,82,100,0.0,US,1721513375
163,saint-philippe,-21.3585,55.7679,18.77,86,62,3.1,RE,1721513572
164,cockburn town,21.4612,-71.1419,28.08,88,70,11.45,TC,1721513574
165,labytnangi,66.6572,66.4183,5.32,76,0,1.61,RU,1721513575
166,penzance,50.1186,-5.5371,15.38,90,86,9.44,GB,1721513577
167,filipstad,59.7124,14.1683,16.59,86,96,1.46,SE,1721513578
168,novodvinsk,64.4165,40.8122,11.86,73,1,2.25,RU,1721513579
169,spring valley,36.108,-115.245,44.42,16,20,4.12,US,1721513580
170,ongjin,37.9347,125.3619,22.19,86,100,6.4,KP,1721513581
171,bonthe,7.5264,-12.505,24.57,93,100,5.79,SL,1721513583
172,atafu village,-8.5421,-172.5159,28.25,76,99,11.05,TK,1721513584
173,usinsk,65.9939,57.5281,6.83,76,9,5.13,RU,1721513585
174,hami,42.8,93.45,26.55,29,0,4.21,CN,1721513586
175,numan,9.4667,12.0333,23.57,93,84,2.39,NG,1721513587
176,tongliao,43.6125,122.2653,22.87,89,31,3.33,CN,1721513589
177,copala,16.65,-98.9833,30.1,65,27,4.26,MX,1721513590
178,colonia,50.9333,6.95,22.14,87,0,1.54,DE,1721513554
179,harstad,68.799,16.5293,15.13,97,100,0.53,NO,1721513592
180,badger,64.8,-147.5333,23.88,41,0,2.57,US,1721513593
181,gadzhiyevo,69.2551,33.3362,11.84,85,65,3.01,RU,1721513594
182,tafuna,-14.3358,-170.72,26.88,72,77,9.6,AS,1721513595
183,guerrero negro,27.9769,-114.0611,26.77,58,65,6.41,MX,1721513597
184,puerto deseado,-47.7503,-65.8938,5.85,70,76,5.3,AR,1721513599
185,bredasdorp,-34.5322,20.0403,7.57,88,54,1.86,ZA,1721513600
186,codrington,-38.2667,141.9667,7.82,98,91,5.93,AU,1721513601
187,hamilton,39.1834,-84.5333,29.89,48,0,3.09,US,1721513603
188,lebu,-37.6167,-73.65,7.81,73,2,8.23,CL,1721513604
189,el bauga,18.262,33.9081,34.76,35,97,6.64,SD,1721513605
190,charters towers,-20.1,146.2667,12.44,35,13,4.26,AU,1721513606
